soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep
2015,14,1416,912977064,1416,101,4,0,Kulturmiljøer og kulturminner,"Skjøtsel av bakkemurer, trerekker, skigarder",Bakkemurer/steingjerder,9,METER,151,1359
2015,11,1160,969374145,1160,159,3,0,Utslipp til luft,Nedlegging og nedfelling,Voksende kultur,80,DEKAR,62,4960
2015,11,1160,969374145,1160,159,3,0,Utslipp til luft,Bruk av tilførselsslanger,Bruk av tilførselsslanger,50,DEKAR,62,3100
2015,5,538,986865594,538,1,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2015,5,538,986865594,538,1,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,58,DEKAR,54,3132
2015,12,1231,983202209,1231,104,1,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,550,DEKAR,5,2750
2015,12,1231,983202209,1231,104,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,460,DEKAR,5,2300
2015,10,1003,980154033,1003,24,8,0,Kulturlandskap,Beite i utmark,Hest/storfe,229,ANTALL_DYR,16,3664
2015,10,1003,980154033,1003,24,8,0,Biologisk mangfold,Beite av biologisk verdifulle arealer,Beite av biologisk verdifulle arealer,654,DEKAR,40,15000
2015,1,128,969345870,128,62,4,0,Kulturlandskap,Skjøtsel av særegne landskapselementer,Åkerholmer,276,ANTALL,9,2484
2015,1,128,969345870,128,62,4,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2015,1,128,969345870,128,62,4,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,125,DEKAR,23,2875
2015,1,128,969345870,128,62,4,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,138,DEKAR,49,6762
2015,1,128,969345870,128,62,4,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 4,147,DEKAR,29,4263
2015,16,1653,993623032,1653,108,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2015,16,1653,993623032,1653,108,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,70,DEKAR,0,0
2015,16,1653,993623032,1653,108,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,125,DEKAR,17,2125
2015,16,1653,993623032,1653,108,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 4,155,DEKAR,70,10850
2015,16,1653,993623032,1653,108,1,0,Avrenning til vassdrag og kyst,Grasdekt vannvei,Korn,13,METER,669,8697
2015,16,1621,969158280,1621,80,22,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2015,16,1621,969158280,1621,80,22,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,70,DEKAR,128,8960
2015,18,1854,974807130,1854,62,8,0,Biologisk mangfold,Beite av biologisk verdifulle arealer,Beite av biologisk verdifulle arealer,285,DEKAR,33,9405
2015,18,1870,999555837,1870,39,42,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,8",METER,309,"1174,2"
2015,18,1870,999555837,1870,39,42,0,Biologisk mangfold,Friarealer for gås i Nord-Trøndelag og Nordland,Middels beitetrykk,180,DEKAR,0,0
2015,18,1870,999555837,1870,39,42,0,Biologisk mangfold,Friarealer for gås i Nord-Trøndelag og Nordland,Lavt beitetrykk,80,DEKAR,38,3040
2015,18,1870,999555837,1870,39,42,0,Kulturmiljøer og kulturminner,Hesjing,Hesjing,1000,DEKAR,1,1000
2015,18,1870,999555837,1870,39,42,0,Kulturmiljøer og kulturminner,"Skjøtsel av bakkemurer, trerekker, skigarder",Bakkemurer/steingjerder,35,METER,195,6825
2015,18,1870,999555837,1870,39,42,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,"23,5",DEKAR,51,"1198,5"
2015,11,1133,894844442,1133,85,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,55,DEKAR,31,1705
2015,11,1133,894844442,1133,85,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,57,DEKAR,5,285
2015,11,1134,989593854,1134,97,5,0,Biologisk mangfold,Skjøtsel av styvingstrær,Skjøtsel av styvingstrær,80,ANTALL,3,240
2015,11,1134,989593854,1134,97,5,0,Friluftsliv og tilgjengelighet,Vedlikehold av ferdselsårer i jordbrukslandskapet,Lav tilrettelegging,4,METER,734,2936
2015,5,532,971013311,532,156,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2015,5,532,971013311,532,156,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,64,DEKAR,6,384
2015,5,532,971013311,532,156,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,96,DEKAR,82,7872
2015,5,532,971013311,532,156,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,138,DEKAR,91,12558
2015,17,1742,970416722,1742,19,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2015,17,1742,970416722,1742,19,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,63,DEKAR,120,7560
2015,17,1742,970416722,1742,19,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,120,DEKAR,126,15120
2015,17,1742,970416722,1742,19,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 4,160,DEKAR,46,7360
2015,17,1742,970416722,1742,19,2,0,Avrenning til vassdrag og kyst,Grasdekt vannvei,Korn,11,METER,0,0
2015,17,1742,970416722,1742,19,2,0,Plantevernmidler,Ugrasharving,Ugrasharving,45,DEKAR,335,15075
2015,17,1749,987102128,1749,27,8,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2015,17,1749,987102128,1749,27,8,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,63,DEKAR,42,2646
2015,14,1420,969823535,1420,76,3,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,261,DEKAR,62,16182
2015,14,1420,969823535,1420,76,3,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,393,DEKAR,48,18864
2015,14,1420,969823535,1420,76,3,0,Kulturlandskap,Beite i utmark,Hest/storfe,100,ANTALL_DYR,0,0
2015,14,1420,969823535,1420,76,3,0,Biologisk mangfold,Skjøtsel av styvingstrær,Skjøtsel av styvingstrær,150,ANTALL,1,150
2015,14,1420,969823535,1420,76,3,0,Kulturmiljøer og kulturminner,"Skjøtsel av bakkemurer, trerekker, skigarder",Bakkemurer/steingjerder,9,METER,816,7344
2015,5,540,882186172,540,93,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,92,DEKAR,28,2576
2015,5,540,882186172,540,93,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,92,DEKAR,0,0
2015,5,540,882186172,540,93,1,0,Biologisk mangfold,Skjøtsel av slåttemark,Skjøtsel av slåttemark,725,DEKAR,28,20300
2015,18,1860,975695948,1860,30,3,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,190,DYREENHETER,50,9500
2015,18,1860,975695948,1860,30,3,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,8",METER,1430,5434
2015,18,1860,975695948,1860,30,3,0,Kulturmiljøer og kulturminner,Hesjing,Hesjing,1000,DEKAR,3,3000
2015,18,1860,975695948,1860,30,3,0,Kulturmiljøer og kulturminner,"Skjøtsel av bakkemurer, trerekker, skigarder",Bakkemurer/steingjerder,35,METER,353,12355
2015,18,1860,975695948,1860,30,3,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,"23,5",DEKAR,167,"3924,5"
2015,17,1702,971217944,1702,208,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2015,17,1702,971217944,1702,208,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,0,DEKAR,12,0
2015,17,1702,971217944,1702,208,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,63,DEKAR,65,4095
2015,17,1702,971217944,1702,208,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,120,DEKAR,29,3480
2015,16,1634,969134047,1634,253,1,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,80,DEKAR,56,12320
2015,16,1634,969134047,1634,253,1,0,Biologisk mangfold,Beite av biologisk verdifulle arealer,Beite av biologisk verdifulle arealer,200,DEKAR,181,36200
2015,2,239,893762442,239,39,47,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Bygdenært,70,DEKAR,93,1680
