soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep,aktivitetsomraade,satskode
2021,4,3426,999653170,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,590,12980,Opprettholde kulturlandskapet,1.2.5.150
2021,4,3426,999653170,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,48,2256,Opprettholde kulturlandskapet,1.2.5.151
2021,34,3439,999645755,3439,49,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,1,110,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3439,999645755,3439,49,3,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Slaatt/rydding,110,DEKAR,40,4400,Nyere tids kulturminner,3.9.109.308
2021,34,3453,999638198,3453,14,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,44,4840,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3453,999638198,3453,14,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,35,3850,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3453,999638198,3453,14,3,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Beiting,110,DEKAR,20,2200,Nyere tids kulturminner,3.9.109.303
2021,34,3438,999620264,3438,117,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,88,9680,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3438,999620264,3438,117,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,41,4510,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3438,999620264,3438,117,1,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Slaatt/rydding,110,DEKAR,20,2200,Nyere tids kulturminner,3.9.109.308
2021,34,3438,999620264,3438,117,1,0,Utslipp til luft,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,60,DEKAR,44,2640,Miljoevennlig spredning av husdyrgjoedsel,6.13.125.000
2021,5,3432,999608000,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,3137,69014,Opprettholde kulturlandskapet,1.2.5.150
2021,5,3432,999608000,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,495,23265,Opprettholde kulturlandskapet,1.2.5.151
2021,34,3432,999592880,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,1808,39776,Opprettholde kulturlandskapet,1.2.5.150
2021,34,3432,999592880,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,219,10293,Opprettholde kulturlandskapet,1.2.5.151
2021,34,3436,999584578,3436,212,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,99,10890,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3436,999584578,3436,212,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,61,6710,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3436,999584578,3436,212,3,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Beiting,110,DEKAR,20,2200,Nyere tids kulturminner,3.9.109.303
2021,34,3436,999584578,3436,212,3,0,Utslipp til luft,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,60,DEKAR,283,16980,Miljoevennlig spredning av husdyrgjoedsel,6.13.125.000
2021,34,3407,999575102,3407,167,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,32,3520,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3407,999575102,3407,167,1,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 2, andre omraader",125,DEKAR,0,0,Avrenning,5.21.111.517
2021,34,3407,999575102,3407,167,1,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 2, med draag, andre omraader",155,DEKAR,0,0,Avrenning,5.21.111.529
2021,34,3427,999571204,3427,114,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,80,8800,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3427,999571204,3427,114,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,13,1430,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3427,999571204,3427,114,1,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Beiting,110,DEKAR,40,4400,Nyere tids kulturminner,3.9.109.303
2021,34,3427,999571204,3427,114,1,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Slaatt/rydding,110,DEKAR,80,8800,Nyere tids kulturminner,3.9.109.308
2021,34,3430,999562914,3430,131,17,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,75,DEKAR,24,1800,Regionalt prioriterte kulturlandskap,1.1.84.000
2021,34,3430,999562914,3430,131,17,0,Biologisk mangfold,Skjoetsel av biologisk verdifulle arealer,Beiting,130,DEKAR,16,2080,Prioriterte naturverdier,2.4.94.303
2021,34,3430,999562914,3430,131,17,0,Kulturminner og kulturmiljoeer,Drift av seter,Levering til meieri,60000,ANDEL,1,60000,Setring,3.6.100.312
2021,34,3430,999562914,3430,131,17,0,Utslipp til luft,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,60,DEKAR,45,2700,Miljoevennlig spredning av husdyrgjoedsel,6.13.125.000
2021,34,3430,999562914,3430,131,17,0,Utslipp til luft,Spredning av husdyrgjoedsel med rask nedmoldning,Spredning av husdyrgjoedsel med rask nedmoldning,70,DEKAR,19,1330,Miljoevennlig spredning av husdyrgjoedsel,6.13.127.000
2021,34,3405,999562477,3405,28,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,41,4510,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3405,999562477,3405,28,1,0,Avrenning til vann,Ingen jordarbeiding om hoesten,Ikke klassifisert,0,DEKAR,0,0,Avrenning,5.21.111.500
2021,34,3405,999562477,3405,28,1,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, prioriterte omraader",90,DEKAR,56,5040,Avrenning,5.21.111.512
2021,34,3405,999562477,3405,28,1,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, med draag, prioriterte omraader",120,DEKAR,106,12720,Avrenning,5.21.111.526
2021,34,3405,999562477,3405,28,1,0,Utslipp til luft,Spredning av husdyrgjoedsel med rask nedmoldning,Spredning av husdyrgjoedsel med rask nedmoldning,70,DEKAR,72,5040,Miljoevennlig spredning av husdyrgjoedsel,6.13.127.000
2021,34,3412,999555608,3412,12,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,1,110,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3412,999555608,3412,12,1,0,Biologisk mangfold,Soner for pollinerende insekter,Hoey sats,10,METER,466,4660,Prioriterte naturverdier,2.4.97.309
2021,34,3412,999555608,3412,12,1,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, prioriterte omraader",90,DEKAR,150,13500,Avrenning,5.21.111.512
2021,34,3412,999555608,3412,12,1,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, med draag, prioriterte omraader",120,DEKAR,48,5760,Avrenning,5.21.111.526
2021,34,3412,999555608,3412,12,1,0,Utslipp til luft,Spredning av husdyrgjoedsel med rask nedmoldning,Spredning av husdyrgjoedsel med rask nedmoldning,70,DEKAR,77,5390,Miljoevennlig spredning av husdyrgjoedsel,6.13.127.000
2021,34,3407,999547966,3407,166,5,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,46,5060,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3407,999547966,3407,166,5,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,4,440,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3407,999547966,3407,166,5,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, andre omraader",70,DEKAR,0,0,Avrenning,5.21.111.516
2021,34,3439,999537715,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,2399,52778,Opprettholde kulturlandskapet,1.2.5.150
2021,34,3439,999537715,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,508,23876,Opprettholde kulturlandskapet,1.2.5.151
2021,34,3415,999530524,3415,34,2,0,Biologisk mangfold,Soner for pollinerende insekter,Hoey sats,10,METER,1514,15140,Prioriterte naturverdier,2.4.97.309
2021,34,3415,999530524,3415,34,2,0,Avrenning til vann,Ingen jordarbeiding om hoesten,Ikke klassifisert,0,DEKAR,0,0,Avrenning,5.21.111.500
2021,34,3415,999530524,3415,34,2,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, prioriterte omraader",90,DEKAR,521,46890,Avrenning,5.21.111.512
2021,34,3415,999530524,3415,34,2,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 2, prioriterte omraader",145,DEKAR,27,3915,Avrenning,5.21.111.513
2021,34,3415,999530524,3415,34,2,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, med draag, prioriterte omraader",120,DEKAR,74,8880,Avrenning,5.21.111.526
2021,34,3432,999523544,,,,,Kulturlandskap,Drift av beitelag,Smaafe,22,ANTALL_DYR,3003,66066,Opprettholde kulturlandskapet,1.2.5.150
2021,34,3432,999523544,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,47,ANTALL_DYR,196,9212,Opprettholde kulturlandskapet,1.2.5.151
2021,34,3403,999507069,3403,25,2,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, prioriterte omraader",90,DEKAR,30,2700,Avrenning,5.21.111.512
2021,34,3403,999507069,3403,25,2,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, med draag, prioriterte omraader",120,DEKAR,19,2280,Avrenning,5.21.111.526
2021,34,3442,999398324,3442,104,1,0,Avrenning til vann,Ingen jordarbeiding om hoesten,Ikke klassifisert,0,DEKAR,0,0,Avrenning,5.21.111.500
2021,34,3442,999398324,3442,104,1,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, prioriterte omraader",90,DEKAR,95,8550,Avrenning,5.21.111.512
2021,34,3442,999398324,3442,104,1,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, med draag, prioriterte omraader",120,DEKAR,52,6240,Avrenning,5.21.111.526
2021,34,3442,999398324,3442,104,1,0,Utslipp til luft,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,60,DEKAR,104,6240,Miljoevennlig spredning av husdyrgjoedsel,6.13.125.000
2021,34,3418,999398189,3418,118,84,0,Utslipp til luft,Spredning av husdyrgjoedsel med rask nedmoldning,Spredning av husdyrgjoedsel med rask nedmoldning,70,DEKAR,64,4480,Miljoevennlig spredning av husdyrgjoedsel,6.13.127.000
2021,34,3454,999342485,3454,72,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,145,15950,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3454,999342485,3454,72,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,6,660,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3454,999342485,3454,72,2,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,75,DEKAR,24,1800,Regionalt prioriterte kulturlandskap,1.1.84.000
2021,34,3454,999342485,3454,72,2,0,Biologisk mangfold,Skjoetsel av biologisk verdifulle arealer,Slaatt,1000,DEKAR,5,5000,Prioriterte naturverdier,2.4.94.304
2021,34,3454,999342485,3454,72,2,0,Kulturminner og kulturmiljoeer,Drift av seter,Levering til meieri,60000,ANDEL,1,60000,Setring,3.6.100.312
2021,34,3454,999342485,3454,72,2,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Beiting,110,DEKAR,0,0,Nyere tids kulturminner,3.9.109.303
2021,34,3454,999342485,3454,72,2,0,Kulturminner og kulturmiljoeer,Skjoetsel av kulturhistoriske omraader,Slaatt/rydding,110,DEKAR,0,0,Nyere tids kulturminner,3.9.109.308
2021,34,3454,999342485,3454,72,2,0,Utslipp til luft,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,Spredning av husdyrgjoedsel om vaaren og eller i vekstsesongen,60,DEKAR,373,22380,Miljoevennlig spredning av husdyrgjoedsel,6.13.125.000
2021,34,3454,999340741,3454,80,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,19,2090,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3454,999340741,3454,80,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,1,110,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3454,999340741,3454,80,2,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,75,DEKAR,22,1650,Regionalt prioriterte kulturlandskap,1.1.84.000
2021,34,3454,999340741,3454,80,2,0,Utslipp til luft,Spredning av husdyrgjoedsel med rask nedmoldning,Spredning av husdyrgjoedsel med rask nedmoldning,70,DEKAR,7,490,Miljoevennlig spredning av husdyrgjoedsel,6.13.127.000
2021,34,3433,999338801,3433,24,4,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,29,3190,Regionalt prioriterte kulturlandskap,1.1.82.112
2021,34,3433,999338801,3433,24,4,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,2,220,Regionalt prioriterte kulturlandskap,1.1.82.113
2021,34,3433,999338801,3433,24,4,0,Avrenning til vann,Ingen jordarbeiding om hoesten,Ikke klassifisert,0,DEKAR,0,0,Avrenning,5.21.111.500
2021,34,3433,999338801,3433,24,4,0,Avrenning til vann,Ingen jordarbeiding om hoesten,"Erosjonsklasse 1, andre omraader",70,DEKAR,8,560,Avrenning,5.21.111.516
