soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall_enhet,beloep
2017,20,2025,986883835,2025,18,5,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Veikanter,965,DEKAR,0,0
2017,20,2025,986883835,2025,18,5,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,135,DEKAR,81,3780
2017,20,2025,986883835,2025,18,5,0,Biologisk mangfold,Beite av biologisk verdifulle arealer,Beite av biologisk verdifulle arealer,1205,DEKAR,0,0
2017,20,2025,986883835,2025,18,5,0,Friluftsliv og tilgjengelighet,Vedlikehold av ferdselsårer i jordbrukslandskapet,Lav tilrettelegging,12,METER,121,1452
2017,20,2025,986883835,2025,18,5,0,Utslipp til luft,Nedlegging og nedfelling,Voksende kultur,194,DEKAR,290,"30933,33333"
2017,20,2025,986883835,2025,18,5,0,Utslipp til luft,Nedlegging og nedfelling,Åpen åker/stubb,194,DEKAR,85,"9066,666666"
2017,18,1826,969341514,1826,6,4,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Bygdenært,200,DEKAR,9,1800
2017,18,1826,969341514,1826,6,4,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,72,1800
2017,12,1227,969627388,1227,30,1,0,Kulturlandskap,Beite i utmark,Sau/geit,39,ANTALL_DYR,53,2067
2017,17,5038,969433087,1721,183,8,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2017,17,5038,969433087,1721,183,8,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,0,DEKAR,0,0
2017,17,5038,969433087,1721,183,8,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 4,229,DEKAR,73,16717
2017,15,1524,969152541,1524,49,9,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,130,DEKAR,133,17290
2017,15,1524,969152541,1524,49,9,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,40,DEKAR,312,5600
2017,15,1524,969152541,1524,49,9,0,Kulturmiljøer og kulturminner,Drift av fellesseter med melkeproduksjon,4-6 uker,30000,ANDEL,2,15000
2017,15,1539,988579955,1539,201,26,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,132,6072
2017,18,1820,991335838,1820,5,1,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,8",METER,2470,9386
2017,18,1820,991335838,1820,5,1,0,Kulturmiljøer og kulturminner,Skjøtsel av gravfelt,Beite,1000,DEKAR,5,5000
2017,18,1820,991335838,1820,5,1,0,Kulturmiljøer og kulturminner,Skjøtsel av andre automatisk fredede kulturminner,Beite,1000,DEKAR,0,0
2017,18,1820,991335838,1820,5,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,300,7500
2017,15,1534,979826265,1534,14,11,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,130,DEKAR,135,17550
2017,15,1534,979826265,1534,14,11,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,40,DEKAR,96,5680
2017,15,1534,979826265,1534,14,11,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,541,24886
2017,5,528,993548014,528,57,12,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Bygdenært,80,DEKAR,464,5600
2017,5,528,993548014,528,57,12,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2017,5,528,993548014,528,57,12,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,105,DEKAR,4,420
2017,5,528,993548014,528,57,12,0,Avrenning til vassdrag og kyst,Utsatt omlegging av eng,Utsatt omlegging av eng,92,DEKAR,3,276
2017,6,605,984758642,605,256,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2017,6,605,984758642,605,256,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,80,DEKAR,140,11200
2017,6,605,984758642,605,256,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,150,DEKAR,58,8700
2017,6,605,984758642,605,256,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 4,225,DEKAR,80,18000
2017,12,1233,913009452,1233,40,1,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Bygdenært,90,DYREENHETER,208,15000
2017,12,1233,913009452,1233,40,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,209,DEKAR,21,4389
2017,12,1233,913009452,1233,40,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,450,DEKAR,4,1800
2017,12,1233,913009452,1233,40,1,0,Kulturlandskap,Beite i utmark,Sau/geit,39,ANTALL_DYR,217,8463
2017,12,1233,913009452,1233,40,1,0,Biologisk mangfold,Skjøtsel av styvingstrær,Skjøtsel av styvingstrær,63,ANTALL,18,1134
2017,18,1820,969983923,1820,32,1,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,8",METER,498,"1892,4"
2017,18,1820,969983923,1820,32,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,39,975
2017,18,1866,997950186,1866,82,35,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,8",METER,223,"847,4"
2017,18,1866,997950186,1866,82,35,0,Biologisk mangfold,Slått av biologisk verdifulle arealer,Slått av biologisk verdifulle arealer,260,DEKAR,4,1040
2017,18,1866,997950186,1866,82,35,0,Biologisk mangfold,Friarealer for gås i Nord-Trøndelag og Nordland,Middels beitetrykk,280,DEKAR,0,0
2017,18,1866,997950186,1866,82,35,0,Biologisk mangfold,Friarealer for gås i Nord-Trøndelag og Nordland,Lavt beitetrykk,150,DEKAR,8,1200
2017,18,1866,997950186,1866,82,35,0,Kulturmiljøer og kulturminner,Skjøtsel av gravfelt,Beite,1000,DEKAR,8,8000
2017,18,1866,997950186,1866,82,35,0,Kulturmiljøer og kulturminner,Skjøtsel av gravfelt,Slått,1500,DEKAR,3,4500
2017,18,1866,997950186,1866,82,35,0,Kulturmiljøer og kulturminner,"Skjøtsel av bakkemurer, trerekker, skigarder",Bakkemurer/steingjerder,25,METER,568,14200
2017,15,1573,969153505,1573,24,2,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,130,DEKAR,26,3380
2017,15,1573,969153505,1573,24,2,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,40,DEKAR,105,2000
2017,15,1573,969153505,1573,24,2,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,43,1978
2017,16,5001,991117679,1601,291,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2017,16,5001,991117679,1601,291,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,75,DEKAR,27,2025
2017,16,5001,991117679,1601,291,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,187,DEKAR,7,1309
2017,15,1511,969633884,1511,89,10,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,10,1300
2017,15,1511,969633884,1511,89,10,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,61,2806
2017,15,1520,989348477,1520,8,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,109,14170
2017,15,1520,989348477,1520,8,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,18,2340
2017,15,1520,989348477,1520,8,1,0,Kulturmiljøer og kulturminner,Skjøtsel av gravminne,Skjøtsel av gravminne,1000,ANTALL,3,3000
2017,15,1520,989348477,1520,8,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,327,15042
2017,11,1130,984660707,1130,10,4,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,54,DEKAR,10,540
2017,11,1130,984660707,1130,10,4,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,56,DEKAR,10,560
2017,11,1130,984660707,1130,10,4,0,Biologisk mangfold,Skjøtsel av styvingstrær,Skjøtsel av styvingstrær,80,ANTALL,5,400
2017,18,1866,969461757,1866,36,9,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,8",METER,990,3762
2017,11,1130,994942824,1130,15,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,54,DEKAR,99,5346
2017,11,1130,994942824,1130,15,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,56,DEKAR,21,1176
2017,11,1130,994942824,1130,15,1,0,Kulturmiljøer og kulturminner,Skjøtsel av gravminne,Skjøtsel av gravminne,500,ANTALL,4,2000
2017,11,1130,994942824,1130,15,1,0,Friluftsliv og tilgjengelighet,Vedlikehold av ferdselsårer i jordbrukslandskapet,Høy tilrettelegging,6,METER,425,2550
2017,15,1567,984244975,1567,3,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,95,12350
2017,15,1567,984244975,1567,3,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,5,650
2017,12,1235,995016842,1235,61,5,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,209,DEKAR,32,6688
2017,12,1235,995016842,1235,61,5,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,450,DEKAR,6,2700
2017,12,1235,995016842,1235,61,5,0,Kulturlandskap,Beite i utmark,Sau/geit,39,ANTALL_DYR,80,3120
2017,12,1235,995016842,1235,61,5,0,Kulturlandskap,Beite i utmark,Hest/storfe,64,ANTALL_DYR,13,832
2017,18,1812,969119536,1812,44,1,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,8",METER,2526,"9598,8"
2017,18,1812,969119536,1812,44,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,222,5550
2017,12,1243,869197122,1243,53,9,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,209,DEKAR,5,1045
2017,12,1243,869197122,1243,53,9,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,450,DEKAR,9,4050
2017,12,1243,869197122,1243,53,9,0,Biologisk mangfold,Skjøtsel av slåttemark,Skjøtsel av slåttemark,500,DEKAR,3,1500
2017,12,1243,869197122,1243,53,9,0,Kulturmiljøer og kulturminner,"Skjøtsel av bakkemurer, trerekker, skigarder",Bakkemurer/steingjerder,5,METER,20,100
2017,15,1525,969210797,1525,33,2,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,46,DEKAR,35,1610
2017,18,1822,969180375,1822,58,2,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,8",METER,480,1824
2017,18,1822,969180375,1822,58,2,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,219,5475
2017,18,1837,913003748,1837,77,10,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,8",METER,649,"2466,2"
2017,18,1837,913003748,1837,77,10,0,Kulturmiljøer og kulturminner,Skjøtsel av gravfelt,Beite,1000,DEKAR,1,1000
2017,18,1837,913003748,1837,77,10,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,253,6325
2017,12,1241,988868612,1241,52,4,0,Kulturlandskap,Beite i utmark,Sau/geit,39,ANTALL_DYR,97,3783
2017,15,1543,969848805,1543,79,12,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,130,DEKAR,57,7410
2017,15,1554,991835741,1554,104,4,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,130,DEKAR,57,7410
2017,15,1554,991835741,1554,104,4,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,40,DEKAR,84,640
