soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep
2014,9,937,969213958,937,53,1,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Bygdenært,85,DYREENHETER,56,4760
2014,9,937,969213958,937,53,1,0,Kulturlandskap,Beite i utmark,Sau/geit,85,ANTALL_DYR,56,4760
2014,2,221,969456893,221,132,7,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,0,DEKAR,2,0
2014,2,221,969456893,221,132,7,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,130,DEKAR,41,5330
2014,2,221,969456893,221,132,7,0,Avrenning til vassdrag og kyst,Grasdekt vannvei,Korn,25,METER,735,18375
2014,2,221,969456893,221,132,7,0,Avrenning til vassdrag og kyst,Stubb i flomutsatte og vassdragsnære områder,Stubb i flomutsatte og vassdragsnære områder,130,DEKAR,21,2730
2014,2,221,969456893,221,132,7,0,Avrenning til vassdrag og kyst,Vedlikehold av fangdammer,Vedlikehold av fangdammer,1300,DEKAR,1,1300
2014,18,1822,969225972,1822,101,8,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,261,6525
2014,19,1939,969298333,1939,45,41,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Bygdenært,70,DYREENHETER,234,10500
2014,19,1939,969298333,1939,45,41,0,Kulturmiljøer og kulturminner,Hesjing,Hesjing,600,DEKAR,7,4200
2014,5,540,869150592,540,83,29,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,95,DEKAR,11,1045
2014,5,540,869150592,540,83,29,0,Kulturlandskap,Beite i utmark,Sau/geit,120,ANTALL_DYR,0,0
2014,5,540,869150592,540,83,29,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,42,DEKAR,8,336
2014,16,1664,869519782,1664,89,1,0,Biologisk mangfold,Beite av biologisk verdifulle arealer,Beite av biologisk verdifulle arealer,200,DEKAR,14,2800
2014,4,441,985206694,441,130,4,0,Biologisk mangfold,Beite av biologisk verdifulle arealer,Beite av biologisk verdifulle arealer,200,DEKAR,26,5200
2014,4,441,985206694,441,130,4,0,Kulturmiljøer og kulturminner,Drift av enkeltseter med melkeproduksjon,8 uker eller mer,42500,ANTALL,1,42500
2014,4,441,985206694,441,130,4,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,200,DEKAR,15,3000
2014,4,441,985206694,441,130,4,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,43,DEKAR,55,2365
2014,5,519,969745836,519,16,12,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Bygdenært,80,DEKAR,141,4400
2014,5,519,969745836,519,16,12,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,95,DEKAR,42,3990
2014,5,519,969745836,519,16,12,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,95,DEKAR,7,665
2014,5,519,969745836,519,16,12,0,Biologisk mangfold,Beite av biologisk verdifulle arealer,Beite av biologisk verdifulle arealer,170,DEKAR,51,8670
2014,5,519,969745836,519,16,12,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,42,DEKAR,19,798
2014,10,1003,888683712,1003,9,6,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Bygdenært,175,DEKAR,51,4025
2014,10,1003,888683712,1003,9,6,0,Kulturlandskap,Beite i utmark,Sau/geit,85,ANTALL_DYR,0,0
2014,17,1719,969182246,1719,271,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,0,DEKAR,0,0
2014,17,1719,969182246,1719,271,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,70,DEKAR,117,8190
2014,17,1719,969182246,1719,271,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,60,DEKAR,4,240
2014,5,501,969114852,501,122,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,95,DEKAR,24,2280
2014,5,501,969114852,501,122,1,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,42,DEKAR,25,1050
2014,17,1719,969640333,1719,211,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2014,17,1719,969640333,1719,211,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,0,DEKAR,0,0
2014,17,1719,969640333,1719,211,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,70,DEKAR,169,11830
2014,17,1719,969640333,1719,211,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,121,DEKAR,30,3630
2014,17,1719,969640333,1719,211,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 4,153,DEKAR,17,2601
2014,17,1719,969640333,1719,211,1,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,60,DEKAR,34,2040
2014,15,1563,913052633,1563,112,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2014,15,1563,913052633,1563,112,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,50,DEKAR,0,0
2014,15,1563,913052633,1563,112,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,50,DEKAR,0,0
2014,15,1563,913052633,1563,112,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 4,50,DEKAR,25,1250
2014,15,1563,913052633,1563,112,2,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,42,DEKAR,82,3444
2014,5,542,911920999,542,46,3,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,95,DEKAR,41,3895
2014,5,542,911920999,542,46,3,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,95,DEKAR,5,475
2014,5,542,911920999,542,46,3,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,42,DEKAR,42,1764
2014,15,1567,969855194,1567,69,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,24,3120
2014,15,1567,969855194,1567,69,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,130,DEKAR,6,780
2014,5,512,997694155,512,92,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,95,DEKAR,4,380
2014,5,512,997694155,512,92,1,0,Kulturlandskap,Beite i utmark,Hest/storfe,585,ANTALL_DYR,6,3510
2014,5,512,997694155,512,92,1,0,Kulturmiljøer og kulturminner,Drift av enkeltseter med melkeproduksjon,8 uker eller mer,38500,ANTALL,1,38500
2014,5,512,997694155,512,92,1,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,42,DEKAR,19,798
2014,5,520,976578635,520,78,2,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,95,DEKAR,57,5415
2014,5,520,976578635,520,78,2,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,95,DEKAR,37,3515
2014,5,520,976578635,520,78,2,0,Biologisk mangfold,Bevaringsverdige husdyrraser,Sau,170,ANTALL_DYR,7,1190
2014,5,520,976578635,520,78,2,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,42,DEKAR,17,714
2014,5,520,976578635,520,78,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,129,DEKAR,22,2838
2014,15,1535,885988652,1535,3,2,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,130,DEKAR,57,7410
2014,15,1535,885988652,1535,3,2,0,Kulturmiljøer og kulturminner,Skjøtsel av gravminne,Skjøtsel av gravminne,1000,ANTALL,1,1000
2014,18,1813,977024307,1813,93,1,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,200,DYREENHETER,31,6200
2014,18,1813,977024307,1813,93,1,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"4,3",METER,200,860
2014,18,1813,977024307,1813,93,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,154,3850
2014,5,502,969438933,502,48,15,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,95,DEKAR,52,4940
2014,5,502,969438933,502,48,15,0,Kulturlandskap,Skjøtsel av bratt areal,Ikke klassifisert,0,DEKAR,0,0
2014,5,502,969438933,502,48,15,0,Avrenning til vassdrag og kyst,Utsatt omlegging av eng,Utsatt omlegging av eng,92,DEKAR,0,0
2014,17,1736,969639823,1736,56,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2014,17,1736,969639823,1736,56,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,60,DEKAR,46,2760
2014,17,1736,969639823,1736,56,3,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,91,DEKAR,16,1456
2014,17,1702,991414649,1702,162,1,0,Biologisk mangfold,Beite av biologisk verdifulle arealer,Beite av biologisk verdifulle arealer,150,DEKAR,28,4200
2014,17,1721,986913149,1721,263,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Ikke klassifisert,0,DEKAR,0,0
2014,17,1721,986913149,1721,263,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 1,0,DEKAR,0,0
2014,17,1721,986913149,1721,263,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 2,70,DEKAR,106,7420
2014,17,1721,986913149,1721,263,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 3,121,DEKAR,9,1089
2014,17,1721,986913149,1721,263,2,0,Avrenning til vassdrag og kyst,Ingen/utsatt jordarbeiding,Erosjonsklasse 4,153,DEKAR,25,3825
2014,11,1133,999291023,1133,101,1,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Verneområde,25,DYREENHETER,43,1075
2014,11,1133,999291023,1133,101,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,56,DEKAR,79,4424
2014,11,1133,999291023,1133,101,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,58,DEKAR,44,2552
2014,11,1133,999291023,1133,101,1,0,Kulturlandskap,Beite i utmark,Sau/geit,80,ANTALL_DYR,0,0
2014,11,1133,999291023,1133,101,1,0,Kulturmiljøer og kulturminner,Skjøtsel av gravminne,Skjøtsel av gravminne,500,ANTALL,14,7000
2014,11,1133,999291023,1133,101,1,0,Friluftsliv og tilgjengelighet,Vedlikehold av ferdselsårer i jordbrukslandskapet,Høy tilrettelegging,7,METER,840,5880
2014,18,1812,987615931,1812,28,1,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"4,3",METER,610,2623
2014,18,1812,987615931,1812,28,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,247,6175
2014,14,1419,987022906,1419,18,5,0,Kulturlandskap,Beite i utmark,Sau/geit,50,ANTALL_DYR,0,0
2014,14,1419,987022906,1419,18,5,0,Biologisk mangfold,Skjøtsel av styvingstrær,Skjøtsel av styvingstrær,150,ANTALL,40,6000
2014,5,520,969251736,520,39,3,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,95,DEKAR,6,570
2014,5,520,969251736,520,39,3,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,95,DEKAR,25,2375
2014,5,520,969251736,520,39,3,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,42,DEKAR,24,1008
2014,18,1838,969119994,1838,24,1,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"4,3",METER,1129,"4854,7"
2014,18,1838,969119994,1838,24,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,25,DEKAR,255,6375
2014,16,1632,969672278,1632,46,8,0,Biologisk mangfold,Bevaringsverdige husdyrraser,Storfe,1800,ANTALL_DYR,23,41400
2014,5,544,969112299,544,46,41,0,Kulturlandskap,Beite i utmark,Hest/storfe,585,ANTALL_DYR,7,4095
2014,5,544,969112299,544,46,41,0,Kulturmiljøer og kulturminner,Drift av enkeltseter med melkeproduksjon,4-6 uker,30500,ANTALL,1,30500
2014,5,544,969112299,544,46,41,0,Kulturmiljøer og kulturminner,Drift av enkeltseter med melkeproduksjon,8 uker eller mer,38500,ANTALL,1,38500
2014,5,544,969112299,544,46,41,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,42,DEKAR,24,1008
2014,5,516,969295059,516,233,2,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,95,DEKAR,13,1235
2014,5,516,969295059,516,233,2,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,95,DEKAR,19,1805
2014,5,516,969295059,516,233,2,0,Kulturmiljøer og kulturminner,Skjøtsel av stølsvoller og seterlandskap,Skjøtsel av stølsvoller og seterlandskap,42,DEKAR,19,798
2014,5,502,990654638,502,114,2,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,95,DEKAR,38,3610
