soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep
2018,18,1820,999201229,1820,83,3,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,5",METER,2042,7147
2018,18,1820,999201229,1820,83,3,0,Kulturmiljøer og kulturminner,Skjøtsel av gravminne,Skjøtsel av gravminne,1000,ANTALL,1,1000
2018,18,1820,999201229,1820,83,3,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,"22,8",DEKAR,260,5928
2018,18,1860,985229112,1860,21,1,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,5",METER,4641,"16243,5"
2018,18,1860,985229112,1860,21,1,0,Kulturmiljøer og kulturminner,"Skjøtsel av bakkemurer, trerekker, skigarder",Bakkemurer/steingjerder,25,METER,1871,46775
2018,15,1525,983607330,1525,32,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:5,200,DEKAR,21,4200
2018,15,1525,983607330,1525,32,1,0,Kulturlandskap,Skjøtsel av bratt areal,Helling 1:3,200,DEKAR,5,1000
2018,15,1525,983607330,1525,32,1,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,43,DEKAR,153,6579
2018,18,1822,984505981,1822,46,10,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,5",METER,176,616
2018,18,1837,992309016,1837,72,3,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,5",METER,210,735
2018,18,1837,992309016,1837,72,3,0,Kulturmiljøer og kulturminner,Skjøtsel av andre automatisk fredede kulturminner,Beite,1000,DEKAR,1,1000
2018,18,1837,992309016,1837,72,3,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,"22,8",DEKAR,440,10032
2018,18,1867,979648049,1867,13,37,0,Kulturlandskap,Slått av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,200,DEKAR,5,1000
2018,18,1867,979648049,1867,13,37,0,Kulturmiljøer og kulturminner,Skjøtsel av andre automatisk fredede kulturminner,Beite,1000,DEKAR,1,1000
2018,18,1867,979648049,1867,13,37,0,Kulturmiljøer og kulturminner,Skjøtsel av andre automatisk fredede kulturminner,Slått,1500,DEKAR,1,1500
2018,18,1867,979648049,1867,13,37,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,"22,8",DEKAR,116,"2644,8"
2018,18,1832,969119951,1832,110,3,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,5",METER,979,"3426,5"
2018,18,1832,969119951,1832,110,3,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,"22,8",DEKAR,101,"2302,8"
2018,18,1860,969155567,1860,82,4,0,Kulturlandskap,Beite av lokalt verdifulle jordbrukslandskap,Areal med spesielle verdier,180,DYREENHETER,24,4320
2018,18,1860,969155567,1860,82,4,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,5",METER,251,"878,5"
2018,18,1860,969155567,1860,82,4,0,Kulturmiljøer og kulturminner,Drift av enkeltseter med foredling,Drift av enkeltseter med foredling,50000,ANTALL,0,0
2018,18,1860,969155567,1860,82,4,0,Kulturmiljøer og kulturminner,"Skjøtsel av bakkemurer, trerekker, skigarder",Bakkemurer/steingjerder,25,METER,226,5650
2018,18,1860,969155567,1860,82,4,0,Utslipp til luft,Spredning vår/vekstsesong,Spredning vår/vekstsesong,"22,8",DEKAR,21,"478,8"
2018,18,1848,989112392,1848,22,3,0,Kulturlandskap,Slått av veikanter,Slått av veikanter,"3,5",METER,1032,3612
