komnr,gardsnr,bruksnr,festenr,bruksnavn,jordbruksareal,skogareal,annet_areal,fulldyrket,overflatedyrket,innmarksbeite,l_komnr,l_gardsnr,l_bruksnr,l_festenr
0301,1,1,0,Bygdøy kongsgård,727,1024,279,673,39,15,0301,1,1,0
0301,2,8,0,Bygdøy kongsgård,0,1,19,0,0,0,0301,1,1,0
0301,1,3,0,,0,2,4,0,0,0,0301,1,3,0
0301,11,42,0,,0,12,0,0,0,0,0301,1,3,0
0301,29,115,0,,0,19,19,0,0,0,0301,1,3,0
0301,41,101,0,,0,8,1,0,0,0,0301,1,3,0
0301,50,14,0,,0,31,37,0,0,0,0301,1,3,0
0301,51,11,0,,3,54,79,3,0,0,0301,1,3,0
0301,54,8,0,,0,44,26,0,0,0,0301,1,3,0
0301,78,1,0,,0,12,25,0,0,0,0301,1,3,0
0301,97,17,0,,0,15,2,0,0,0,0301,1,3,0
0301,99,1,0,,0,74,138,0,0,0,0301,1,3,0
0301,103,1,0,,0,1,99,0,0,0,0301,1,3,0
0301,111,1,0,,0,0,2,0,0,0,0301,1,3,0
0301,2,132,0,NORSK FOLKEMUSEUM,22,21,89,8,3,11,0301,2,132,0
0301,2,973,0,NORSK FOLKEMUSEUM,0,0,2,0,0,0,0301,2,132,0
0301,2,360,0,RUTLI,0,3,4,0,0,0,0301,2,360,0
0301,6,9,0,KILLINGEN,0,40,47,0,0,0,0301,6,9,0
0301,13,1,0,Bogstad,44,13,76,23,0,21,0301,13,1,0
0301,13,7,0,"BAKK GÅRD, SØRKEDALEN",37,4,22,15,0,22,0301,13,7,0
0301,13,8,0,,0,19,5,0,0,0,0301,13,8,0
0301,13,20,0,IKKE MÅLT,0,67,0,0,0,0,0301,13,36,0
0301,13,36,0,IKKE MÅLT,931,6289,511,587,45,299,0301,13,36,0
0301,13,47,0,IKKE MÅLT,23,11,7,23,0,0,0301,13,36,0
0301,27,50,0,IKKE MÅLT,0,99,74,0,0,0,0301,13,36,0
0301,28,465,0,IKKE MÅLT,28,82,51,28,0,0,0301,13,36,0
0301,34,1,0,IKKE MÅLT,17,4846,564,0,0,17,0301,13,36,0
0301,34,12,0,IKKE MÅLT,0,15,89,0,0,0,0301,13,36,0
0301,35,317,0,IKKE MÅLT,0,467,46,0,0,0,0301,13,36,0
0301,35,526,0,IKKE MÅLT,0,398,5,0,0,0,0301,13,36,0
0301,37,2,0,IKKE MÅLT,0,10,0,0,0,0,0301,13,36,0
0301,37,37,0,IKKE MÅLT,0,13,0,0,0,0,0301,13,36,0
0301,37,38,0,IKKE MÅLT,0,34,1,0,0,0,0301,13,36,0
0301,37,39,0,IKKE MÅLT,0,33,0,0,0,0,0301,13,36,0
0301,38,12,0,IKKE MÅLT,0,580,7,0,0,0,0301,13,36,0
0301,41,117,0,IKKE MÅLT,0,1825,35,0,0,0,0301,13,36,0
0301,45,1,0,IKKE MÅLT,30,811,31,0,0,30,0301,13,36,0
0301,47,31,0,IKKE MÅLT,34,3378,223,0,0,34,0301,13,36,0
0301,50,2,0,IKKE MÅLT,0,1602,118,0,0,0,0301,13,36,0
0301,52,10,0,IKKE MÅLT,0,535,50,0,0,0,0301,13,36,0
0301,60,2,0,IKKE MÅLT,0,2639,188,0,0,0,0301,13,36,0
0301,64,6,0,IKKE MÅLT,4,91,18,0,4,0,0301,13,36,0
0301,64,7,0,IKKE MÅLT,0,173,16,0,0,0,0301,13,36,0
0301,66,2,0,IKKE MÅLT,0,185,40,0,0,0,0301,13,36,0
0301,66,3,0,IKKE MÅLT,8,54,23,0,8,0,0301,13,36,0
0301,66,8,0,IKKE MÅLT,0,7,1,0,0,0,0301,13,36,0
0301,66,13,0,IKKE MÅLT,0,2092,24,0,0,0,0301,13,36,0
0301,66,59,0,IKKE MÅLT,0,4,0,0,0,0,0301,13,36,0
0301,69,5,0,IKKE MÅLT,0,406,1,0,0,0,0301,13,36,0
0301,69,8,0,IKKE MÅLT,17,3,8,17,0,0,0301,13,36,0
0301,69,10,0,IKKE MÅLT,0,400,21,0,0,0,0301,13,36,0
0301,69,17,0,IKKE MÅLT,3,7,2,0,0,3,0301,13,36,0
0301,69,19,0,IKKE MÅLT,5,4,0,5,0,0,0301,13,36,0
0301,69,23,0,IKKE MÅLT,0,1780,225,0,0,0,0301,13,36,0
0301,69,163,0,IKKE MÅLT,0,201,1,0,0,0,0301,13,36,0
0301,69,344,0,IKKE MÅLT,0,238,9,0,0,0,0301,13,36,0
0301,71,5,0,IKKE MÅLT,0,1709,80,0,0,0,0301,13,36,0
0301,73,4,0,IKKE MÅLT,0,387,94,0,0,0,0301,13,36,0
0301,86,4,0,IKKE MÅLT,0,30,6,0,0,0,0301,13,36,0
