bel_lagnr,navn,beiteaar,beitekommune,beiteslipp,hovedsanking,sau_lam_sluppet,sau_lam_tapt,geit_sluppet,geit_tapt,storfe_sluppet,storfe_tapt
985803757,MYSUSETER-KAMPEN BEITELAG BA,2012,517,17.06.2012,15.09.2012,747,31,0,0,40,1
985803757,MYSUSETER-KAMPEN BEITELAG BA,2007,517,20.06.2007,16.09.2007,701,25,0,0,18,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2008,517,25.06.2008,05.09.2008,744,22,0,0,23,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2011,517,26.06.2011,15.09.2011,822,34,0,0,38,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2010,517,20.06.2010,01.09.2010,770,26,0,0,30,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2009,517,28.06.2009,08.08.2009,709,22,0,0,29,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2005,517,27.06.2005,10.09.2005,756,21,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2006,517,23.06.2006,10.09.2006,745,33,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2004,517,20.06.2004,11.09.2004,836,38,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,1997,517,,,1041,46,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,1996,517,,,990,26,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,1995,517,,,1025,40,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,1994,517,,,853,10,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,1993,517,,,768,18,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,1992,517,,,850,37,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2003,517,23.06.2003,13.09.2003,896,30,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2002,517,15.06.2002,15.09.2002,976,115,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2001,517,25.06.2001,15.09.2001,920,36,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,2000,517,21.06.2000,09.09.2000,970,49,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,1999,517,24.06.1999,13.09.1999,893,54,0,0,0,0
985803757,MYSUSETER-KAMPEN BEITELAG BA,1998,517,,,984,49,0,0,0,0
