soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep,aktivitetsomraade
2022,30,3044,999668135,,,,,Kulturlandskap,Drift av beitelag,Småfe,15,ANTALL_DYR,1548,23220,Opprettholde kulturlandskapet
2022,30,3028,999665462,3028,69,1,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,190,DEKAR,4,760,Regionalt prioriterte kulturlandskap
2022,30,3028,999665462,3028,69,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",111,DEKAR,6,666,Avrenning
2022,30,3028,999665462,3028,69,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, prioriterte områder",111,DEKAR,33,3663,Avrenning
2022,30,3028,999665462,3028,69,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",206,DEKAR,34,7004,Avrenning
2022,30,3028,999665462,3028,69,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 4, prioriterte områder",206,DEKAR,5,1030,Avrenning
2022,30,3028,999665462,3028,69,1,0,Avrenning til vann,Gras på arealer utsatt for flom og erosjon,Prioriterte områder,186,DEKAR,50,9300,Avrenning
2022,30,3028,999665462,3028,69,1,0,Avrenning til vann,Ingen jordarbeiding på flomutsatte arealer,Prioriterte områder,115,DEKAR,12,1380,Avrenning
2022,30,3028,999665462,3028,69,1,0,Avrenning til vann,"Grasdekt kantsone i åker, korn",Prioriterte områder,13,METER,695,9035,Avrenning
2022,38,3802,999662730,3802,247,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",235,DEKAR,19,4465,Avrenning
2022,38,3802,999662730,3802,247,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, med dråg, prioriterte områder",235,DEKAR,6,1410,Avrenning
2022,18,1833,999660347,,,,,Kulturlandskap,Drift av beitelag,Småfe,15,ANTALL_DYR,662,9930,Opprettholde kulturlandskapet
