soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep,aktivitetsomraade
2023,30,3044,999668135,,,,,Kulturlandskap,Drift av beitelag,Småfe,20,ANTALL_DYR,1434,28680,Opprettholde kulturlandskapet
2023,30,3030,999666248,3030,252,10,0,Avrenning til vann,"Direktesådd høstkorn og høstoljevekster, direktesådd",Prioriterte områder,210,DEKAR,156,32760,Avrenning
2023,30,3028,999665462,3028,69,1,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,195,DEKAR,4,780,Regionalt prioriterte kulturlandskap
2023,30,3028,999665462,3028,69,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",120,DEKAR,2,240,Avrenning
2023,30,3028,999665462,3028,69,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, prioriterte områder",120,DEKAR,37,4440,Avrenning
2023,30,3028,999665462,3028,69,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",210,DEKAR,39,8190,Avrenning
2023,30,3028,999665462,3028,69,1,0,Avrenning til vann,Gras på arealer utsatt for flom og erosjon,Prioriterte områder,205,DEKAR,50,10250,Avrenning
2023,30,3028,999665462,3028,69,1,0,Avrenning til vann,Ingen jordarbeiding på flomutsatte arealer,Prioriterte områder,120,DEKAR,12,1440,Avrenning
2023,30,3028,999665462,3028,69,1,0,Avrenning til vann,"Grasdekt kantsone i åker, korn m.m.",Prioriterte områder,20,METER,695,13900,Avrenning
2023,18,1833,999660347,,,,,Kulturlandskap,Drift av beitelag,Småfe,15,ANTALL_DYR,618,9270,Opprettholde kulturlandskapet
2023,18,1833,999660347,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,25,ANTALL_DYR,44,1100,Opprettholde kulturlandskapet
2023,11,1108,999659748,,,,,Kulturlandskap,Drift av beitelag,Småfe,25,ANTALL_DYR,1693,42325,Opprettholde kulturlandskapet
2023,38,3812,999659209,3812,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",100,DEKAR,11,1100,Avrenning
2023,38,3812,999659209,3812,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, prioriterte områder",140,DEKAR,31,4340,Avrenning
2023,38,3812,999659209,3812,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",250,DEKAR,11,2750,Avrenning
2023,38,3812,999659209,3812,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, med dråg, prioriterte områder",140,DEKAR,5,700,Avrenning
2023,38,3812,999659209,3812,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, med dråg, prioriterte områder",250,DEKAR,3,750,Avrenning
2023,15,1539,999654797,,,,,Kulturlandskap,Drift av beitelag,Småfe,20,ANTALL_DYR,788,15760,Opprettholde kulturlandskapet
2023,15,1539,999654797,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,25,ANTALL_DYR,390,9750,Opprettholde kulturlandskapet
2023,15,1520,999654339,1520,162,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,400,DEKAR,35,14000,Regionalt prioriterte kulturlandskap
2023,15,1520,999654339,1520,162,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,500,DEKAR,8,4000,Regionalt prioriterte kulturlandskap
2023,34,3426,999653170,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,483,14490,Opprettholde kulturlandskapet
2023,34,3426,999653170,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,60,ANTALL_DYR,48,2880,Opprettholde kulturlandskapet
2023,34,3439,999645755,3439,49,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,120,DEKAR,1,120,Regionalt prioriterte kulturlandskap
2023,34,3439,999645755,3439,49,3,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Slått/rydding,120,DEKAR,40,4800,Nyere tids kulturminner
2023,46,4643,999642071,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,801,24030,Opprettholde kulturlandskapet
2023,50,5037,999641717,5037,348,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,229,DEKAR,41,9389,Regionalt prioriterte kulturlandskap
2023,50,5037,999641717,5037,348,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,229,DEKAR,3,687,Regionalt prioriterte kulturlandskap
2023,50,5037,999641717,5037,348,1,0,Utslipp til luft,Spredning av all husdyrgjødsel om våren/i vekstsesongen,Voksende kultur,21,DEKAR,538,11298,Miljøvennlig spredning av husdyrgjødsel
2023,30,3014,999640001,3014,225,2,0,Kulturlandskap,Skjøtsel av gårdsdammer,Skjøtsel av gårdsdammer,455,ANTALL,5,2275,Opprettholde kulturlandskapet
2023,30,3014,999640001,3014,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",120,DEKAR,269,32280,Avrenning
2023,30,3014,999640001,3014,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, prioriterte områder",120,DEKAR,103,12360,Avrenning
2023,30,3014,999640001,3014,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",210,DEKAR,81,17010,Avrenning
2023,30,3014,999640001,3014,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, med dråg, prioriterte områder",120,DEKAR,52,6240,Avrenning
2023,30,3014,999640001,3014,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, med dråg, prioriterte områder",210,DEKAR,41,8610,Avrenning
2023,30,3014,999640001,3014,225,2,0,Avrenning til vann,"Grasdekt kantsone i åker, korn m.m.",Prioriterte områder,20,METER,3767,75340,Avrenning
2023,30,3014,999640001,3014,225,2,0,Avrenning til vann,Fangdam,Prioriterte områder,755,DEKAR,1,755,Avrenning
2023,46,4644,999639569,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,2404,72120,Opprettholde kulturlandskapet
2023,46,4644,999639569,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,41,1435,Opprettholde kulturlandskapet
2023,34,3453,999638198,3453,14,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,120,DEKAR,44,5280,Regionalt prioriterte kulturlandskap
2023,34,3453,999638198,3453,14,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,120,DEKAR,35,4200,Regionalt prioriterte kulturlandskap
