orgnr,komnr,gardsnr,bruksnr,festenr,produsentnummer_8,produsentnummer_10
970010815,0301,1,1,0,03010004,0301000444
999607772,0301,1,1,0,03010004,0301000451
996922766,0301,13,1,0,03010261,0301026118
993046663,0301,13,7,0,03010247,0301024766
989128310,0301,14,1,0,03010213,0301021317
926317466,0301,15,2,0,03010265,0301026563
998129079,0301,16,1,0,03010028,0301002838
991562109,0301,16,1,0,03010028,0301002820
976067479,0301,17,10,0,03010023,0301002390
969302748,0301,18,2,0,03010021,0301002127
985984514,0301,19,4,0,03010022,0301002275
987357096,0301,19,5,0,03010018,0301001871
970152202,0301,21,2,0,03010058,0301005856
976732170,0301,23,2,0,03010092,0301009262
911997118,0301,24,3,0,03010228,0301022869
914872766,0301,24,4,0,03010227,0301022752
870518722,0301,25,29,0,03010385,0301038519
974681196,0301,26,1,0,03010490,0301049011
977054036,0301,27,259,0,03010500,0301050019
919345160,0301,27,1297,0,03010579,0301057915
966056258,0301,42,1,0,03010051,0301005146
999340717,0301,60,1,0,03010506,0301050639
966126965,0301,61,5,0,03010217,0301021747
992571934,0301,62,5,0,03010557,0301055711
985780145,0301,63,1,0,03010325,0301032553
883520432,0301,64,1,0,03010231,0301023149
918284419,0301,66,1,0,03010345,0301034559
987031808,0301,66,1,0,03010345,0301034526
970144897,0301,67,34,0,03010323,0301032314
969290650,0301,69,1,0,03010232,0301023271
988604798,0301,69,9,0,03010222,0301022299
982912873,0301,69,51,0,03010008,0301000865
918734759,0301,69,153,0,03010561,0301056123
968386808,0301,70,2,0,03010234,0301023495
990632081,0301,71,4,0,03010225,0301022562
911743418,0301,100,1,0,03010563,0301056321
948301288,0301,100,39,0,03010529,0301052916
976820037,0301,100,76,0,03010588,0301058814
935499151,0301,104,3,0,03010530,0301053013
934469801,0301,105,402,0,03010499,0301049912
915752519,0301,109,68,0,03010585,0301058517
996922766,0301,112,46,0,03010034,0301003455
938498318,0301,133,44,0,03010590,0301059028
914750377,0301,143,237,0,03010608,0301060810
987022140,0301,151,178,0,03010497,0301049722
946494291,0301,156,14,0,03010601,0301060117
979837895,0301,160,1,0,03010317,0301031712
996922766,0301,165,1,0,03010558,0301055810
866699852,0301,167,1,0,03010342,0301034211
970276408,0301,170,1,0,03010003,0301000337
812896822,0301,170,1,0,03010003,0301000345
948264005,0301,175,5,0,03010270,0301027058
972408875,0301,191,1,0,03010318,0301031811
911830868,0301,230,2,0,03010572,0301057220
917012458,0301,230,278,0,03010596,0301059614
974778742,0301,232,2,0,03010380,0301038030
974761319,0301,99999,3009,0,03010494,0301049466
974761319,0301,99999,3009,0,03010494,0301049417
981544315,0301,99999,3009,0,03010494,0301049458
992699469,1101,1,4,0,11010565,1101056545
969208938,1101,2,13,0,11010076,1101007654
930065129,1101,2,14,0,11010178,1101017877
918318232,1101,2,20,0,11010083,1101008314
985486336,1101,3,2,0,11010324,1101032488
980086496,1101,3,3,0,11010101,1101010161
927268248,1101,3,4,0,11010100,1101010088
920678068,1101,3,8,0,11010098,1101009841
969209578,1101,3,9,0,11010097,1101009759
928609928,1101,3,10,0,11010231,1101023198
986249133,1101,3,11,0,11010096,1101009668
893181342,1101,3,14,0,11010094,1101009460
969932865,1101,3,18,0,11010093,1101009346
930916870,1101,4,8,0,11010012,1101001210
984105703,1101,4,8,0,11010012,1101001293
923537155,1101,4,13,0,11010551,1101055158
969085194,1101,4,25,0,11010088,1101008827
969371251,1101,5,14,0,11010105,1101010559
977552710,1101,6,9,0,11010235,1101023537
970394575,1101,7,3,0,11010562,1101056214
990584303,1101,8,10,0,11010049,1101004941
998732654,1101,9,8,0,11010085,1101008587
914762081,1101,10,3,0,11010322,1101032272
969624443,1101,10,5,0,11010399,1101039947
819868042,1101,10,7,0,11010531,1101053179
892848262,1101,13,53,0,11010305,1101030599
921393245,1101,13,125,0,11010827,1101082723
994434047,1101,13,970,0,11010735,1101073524
969372932,1101,14,3,0,11010287,1101028759
928597547,1101,14,3,0,11010287,1101028767
983846157,1101,14,7,0,11010264,1101026431
981373685,1101,14,11,0,11010261,1101026191
997111265,1101,14,14,0,11010262,1101026217
990271550,1101,14,20,0,11010265,1101026563
982324904,1101,14,22,0,11010143,1101014338
892503532,1101,16,2,0,11010216,1101021663
996548139,1101,16,5,0,11010224,1101022455
982292492,1101,16,6,0,11010284,1101028411
969080451,1101,16,7,0,11010217,1101021721
971196440,1101,16,8,0,11010212,1101021226
970114661,1101,17,1,0,11010165,1101016531
916344791,1101,18,3,0,11010169,1101016945
985885125,1101,18,5,0,11010280,1101028072
986122109,1101,18,5,0,11010280,1101028031
928070352,1101,18,19,0,11010170,1101017067
969806487,1101,19,1,0,11010116,1101011623
995639866,1101,19,3,0,11010219,1101021960
918318739,1101,19,5,0,11010306,1101030672
814277232,1101,19,7,0,11010304,1101030417
984707088,1101,19,12,0,11010063,1101006391
926728679,1101,19,15,0,11010139,1101013991
982315123,1101,20,5,0,11010202,1101020269
985305005,1101,20,7,0,11010201,1101020178
894380322,1101,21,6,0,11010242,1101024279
969083833,1101,21,8,0,11010238,1101023891
924281154,1101,22,1,0,11010269,1101026977
970446818,1101,22,1,0,11010269,1101026969
917198071,1101,22,4,0,11010268,1101026829
994319965,1101,23,1,0,11010149,1101014932
924938838,1101,23,2,0,11010146,1101014627
933176479,1101,24,4,0,11010064,1101006441
984783051,1101,25,1,0,11010191,1101019121
927478404,1101,25,11,0,11010320,1101032041
991803688,1101,26,2,0,11010228,1101022851
984802781,1101,26,5,0,11010229,1101022927
982435471,1101,28,1,0,11010213,1101021333
969241714,1101,29,1,0,11010014,1101001459
914880653,1101,29,2,0,11010015,1101001558
927663481,1101,29,3,0,11010062,1101006219
927390361,1101,30,1,0,11010167,1101016754
974392550,1101,31,2,0,11010145,1101014528
969407809,1101,33,1,0,11010166,1101016655
979865112,1101,34,1,0,11010117,1101011722
985463697,1101,35,2,0,11010207,1101020749
923062688,1101,39,1,0,11010294,1101029450
915347924,1101,39,2,0,11010295,1101029542
974979535,1101,39,3,0,11010292,1101029229
999282210,1101,39,3,0,11010292,1101029237
925386278,1101,39,5,0,11010290,1101029013
925739677,1101,39,6,0,11010291,1101029153
918370889,1101,39,7,0,11010293,1101029369
984281765,1101,40,1,0,11010186,1101018644
969580357,1101,40,2,0,11010187,1101018750
916986653,1101,40,3,0,11010185,1101018545
930626856,1101,41,1,0,11010258,1101025847
982274672,1101,42,2,0,11010211,1101021168
891662882,1101,44,4,0,11010288,1101028882
917377154,1101,44,5,0,11010250,1101025094
913003713,1101,45,1,0,11010248,1101024840
969307529,1101,45,1,0,11010248,1101024899
921694660,1101,45,13,0,11010246,1101024642
985011729,1101,47,13,0,11010127,1101012753
933031004,1101,48,2,0,11010283,1101028346
969408333,1101,48,2,0,11010283,1101028320
938752648,1101,48,40,0,11010747,1101074720
994943405,1101,49,3,0,11010282,1101028288
985331626,1101,50,3,0,11010140,1101014049
969373777,1101,50,4,0,11010141,1101014130
921841124,1101,51,2,0,11010120,1101012068
969305755,1101,52,1,0,11010134,1101013470
928443590,1101,52,2,0,11010125,1101012548
989060554,1101,52,6,0,11010124,1101012472
979520158,1101,52,9,0,11010132,1101013249
969498197,1101,52,17,0,11010136,1101013660
989136860,1101,52,18,0,11010130,1101013074
976943147,1101,52,21,0,11010133,1101013322
986322965,1101,53,2,0,11010302,1101030276
969209845,1101,53,4,0,11010554,1101055463
985021600,1101,54,5,0,11010150,1101015053
983385028,1101,54,7,0,11010516,1101051660
869270172,1101,55,1,0,11010199,1101019931
913010310,1101,55,7,0,11010210,1101021069
969443716,1101,56,2,0,11010518,1101051819
981542762,1101,57,1,0,11010259,1101025938
930273031,1101,57,1,0,11010259,1101025953
996337685,1101,58,5,0,11010493,1101049342
993559105,1101,59,4,0,11010496,1101049631
969932970,1101,59,4,0,11010496,1101049664
975895270,1101,60,5,0,11010569,1101056958
893643052,1101,60,36,0,11010501,1101050183
996368823,1101,61,3,0,11010348,1101034872
925959863,1101,62,5,0,11010429,1101042933
924843101,1101,62,6,0,11010425,1101042545
970117644,1101,62,7,0,11010432,1101043238
913185382,1101,62,7,0,11010432,1101043246
932746646,1101,66,1,0,11010541,1101054185
969190222,1101,68,1,0,11010363,1101036356
930952389,1101,68,5,0,11010483,1101048385
925267651,1101,68,7,0,11010411,1101041125
877534502,1101,69,1,0,11010336,1101033627
916278179,1101,69,3,0,11010377,1101037776
913009533,1101,70,1,0,11010388,1101038873
971196424,1101,70,2,0,11010392,1101039269
969796430,1101,70,4,0,11010568,1101056818
969794837,1101,70,5,0,11010386,1101038659
928688801,1101,70,5,0,11010386,1101038642
969243113,1101,71,3,0,11010479,1101047916
974450704,1101,71,4,0,11010395,1101039541
924035102,1101,71,5,0,11010396,1101039640
989266853,1101,71,6,0,11010537,1101053773
969371227,1101,72,1,0,11010375,1101037552
969503735,1101,72,10,0,11010353,1101035358
991488227,1101,72,10,0,11010353,1101035333
875919032,1101,73,1,0,11010382,1101038238
928628620,1101,75,1,0,11010443,1101044335
913296648,1101,78,6,0,11010519,1101051991
979501404,1101,78,8,0,11010374,1101037487
994923625,1101,78,12,0,11010354,1101035473
969372576,1101,78,20,0,11010445,1101044582
969795647,1101,79,2,0,11010380,1101038055
975890503,1101,79,5,0,11010355,1101035564
986932046,1101,79,6,0,11010356,1101035648
923061061,1101,79,9,0,11010352,1101035234
984693621,1101,80,2,0,11010418,1101041836
993475661,1101,80,4,0,11010456,1101045639
992545771,1101,81,4,0,11010457,1101045720
969081598,1101,82,1,0,11010440,1101044079
979801564,1101,82,3,0,11010439,1101043964
922718423,1101,84,3,0,11010402,1101040291
918794875,1101,84,4,0,11010412,1101041240
969189542,1101,86,1,0,11010391,1101039111
812263552,1101,89,1,0,11010422,1101042297
889819782,1101,92,23,0,11010400,1101040077
969080192,1101,95,1,0,11010451,1101045142
988579092,1101,95,2,0,11010448,1101044871
969939355,1101,96,1,0,11010383,1101038386
983100872,1101,97,1,0,11010384,1101038477
985184135,1101,98,3,0,11010446,1101044681
989250272,1101,99,1,0,11010387,1101038766
971193034,1101,101,7,0,11010557,1101055729
897811642,1101,107,4,0,11010434,1101043436
990652341,1101,107,53,0,11010611,1101061156
928689468,1101,107,61,0,11010836,1101083614
869795402,1101,108,1,0,11010480,1101048021
969084600,1101,109,5,0,11010341,1101034120
884078342,1101,111,1,0,11010343,1101034385
969795396,1101,111,10,0,11010478,1101047825
969502259,1101,112,3,0,11010409,1101040911
998763061,1101,114,5,0,11010798,1101079885
986238581,1101,115,1,0,11010253,1101025375
923989994,1101,115,2,0,11010255,1101025557
981612590,1101,115,3,0,11010256,1101025623
976655214,1101,115,4,0,11010251,1101025144
928028313,1101,115,5,0,11010144,1101014478
989138421,1101,115,11,0,11010252,1101025219
969171414,1101,116,12,0,11010470,1101047064
994179691,1101,118,1,0,11010473,1101047395
916525753,1101,118,2,0,11010474,1101047486
990728682,1101,118,6,0,11010472,1101047262
928581802,1101,118,12,0,11010471,1101047171
998541387,1101,119,1,0,11010345,1101034542
989200704,1101,121,1,0,11010475,1101047577
979411464,1101,121,2,0,11010477,1101047734
970346961,1101,121,3,0,11010328,1101032835
990978433,1101,121,5,0,11010476,1101047650
970244948,1101,121,5,0,11010476,1101047684
981881990,1101,122,1,0,11010465,1101046538
969081849,1101,122,2,0,11010464,1101046439
969271699,1101,123,2,0,11010416,1101041638
969145723,1101,123,9,0,11010435,1101043543
970565310,1101,99999,3031,0,11010724,1101072419
969374919,1103,1,1,0,11030282,1103028252
981893875,1103,1,5,0,11030277,1103027783
997693965,1103,1,17,0,11030281,1103028161
994928392,1103,2,5,0,11030288,1103028898
994772732,1103,3,2,0,11030295,1103029599
922174407,1103,3,4,0,11030297,1103029755
984197993,1103,3,6,0,11030298,1103029870
921747136,1103,3,11,0,11030302,1103030274
917193665,1103,3,23,0,11030307,1103030779
